timestamp,open,high,low,close,volume
2022-10-13,208.3,222.99,206.22,221.72,91483045
2022-10-12,215.33,219.2999,211.51,217.24,66860699
2022-10-11,220.945,225.75,215.0,216.5,77013202
2022-10-10,223.93,226.99,218.3582,222.96,67925018
2022-10-07,233.935,234.5715,222.02,223.07,83916800
2022-10-06,239.44,244.58,235.35,238.13,69298437
2022-10-05,245.01,246.6697,233.27,240.81,86982673
2022-10-04,250.52,257.5,242.01,249.44,109578535
2022-10-03,254.5,255.16,241.01,242.4,98363541
2022-09-30,266.145,275.57,262.47,265.25,67726598
2022-09-29,282.76,283.65,265.78,268.21,77620642
2022-09-28,283.08,289.0,277.57,287.81,54664809
2022-09-27,283.84,288.67,277.51,282.94,61925185
2022-09-26,271.83,284.09,270.31,276.01,58076913
2022-09-23,283.09,284.5,272.82,275.33,63748362
2022-09-22,299.86,301.29,285.82,288.59,70107683
2022-09-21,308.29,313.8,300.63,300.8,62555656
2022-09-20,306.91,313.33,305.58,308.73,61642783
2022-09-19,300.09,309.84,297.8,309.07,60231156
2022-09-16,299.605,303.71,295.6005,303.35,87087786
2022-09-15,301.825,309.12,300.7247,303.75,64795523
2022-09-14,292.24,306.0,291.64,302.61,72628653
2022-09-13,292.9,297.3999,290.4,292.13,68229619
2022-09-12,300.72,305.49,300.4,304.42,48674604
2022-09-09,291.67,299.85,291.245,299.68,54470854
2022-09-08,281.3,289.5,279.76,289.26,53713124
2022-09-07,273.1,283.84,272.27,283.7,50028916
2022-09-06,272.675,275.99,265.74,274.42,55605247
2022-09-02,281.065,282.35,269.08,270.21,50890090
2022-09-01,272.575,277.58,266.15,277.16,54287024
2022-08-31,280.62,281.25,271.81,275.61,52107337
2022-08-30,287.865,288.48,272.65,277.7,50541759
2022-08-29,282.83,287.74,280.7,284.82,41548729
2022-08-26,297.43,302.0,287.47,288.09,57163947
2022-08-25,302.36,302.96,291.6,296.07,52827378
2022-08-24,892.69,910.94,889.5,891.29,19086572
2022-08-23,874.36,896.4799,863.77,889.36,21328348
2022-08-22,875.74,877.2,858.89,869.74,18614449
2022-08-19,897.0,901.08,877.5,890.0,20465129
2022-08-18,918.0,919.5,905.56,908.61,15833512
2022-08-17,910.19,928.97,900.1,911.99,22921990
2022-08-16,935.0,944.0,908.65,919.69,29378774
2022-08-15,905.36,939.4,903.69,927.96,29786389
2022-08-12,868.245,900.48,855.1,900.09,26552429
2022-08-11,889.54,894.71,857.5,859.89,23385015
2022-08-10,891.2,892.53,850.11,883.07,31639624
2022-08-09,870.88,877.19,838.06,850.0,28748227
2022-08-08,885.0,915.6,867.2562,871.27,33121758
2022-08-05,908.01,913.8199,856.634,864.51,37724299
2022-08-04,933.0,940.82,915.0,925.9,24085439
2022-08-03,915.0,928.65,903.45,922.19,26697035
2022-08-02,882.01,923.5,878.0,901.76,31859156
2022-08-01,903.825,935.6347,885.0,891.83,39014296
2022-07-29,842.1,894.96,837.3,891.45,31770961
2022-07-28,840.2,849.9,818.4,842.7,28240997
2022-07-27,791.43,827.7768,785.3701,824.46,29369996
2022-07-26,799.54,801.9299,768.79,776.58,22273586
2022-07-25,816.65,822.44,802.2,805.3,21357835
2022-07-22,828.66,842.36,812.14,816.73,34490949
2022-07-21,765.32,819.8,764.6,815.12,47344059
2022-07-20,740.35,751.99,730.449,742.5,29621363
2022-07-19,735.0,741.42,710.93,736.59,26963370
